rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
351-400,377,Universidad Nacional de General Sarmiento (UNGS),Argentina,Polvorines,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-general-sarmiento-ungs,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-general-sarmiento-ungs_592560cf2aeae70239af5698_medium.jpg,6.4,201+,15,201+,18,151+,23.2,201+,n/a,n/a,19,201+,23.3,201+,10.6,151+
351-400,378,Universidad Nacional de Itapúa,Paraguay,Encarnación,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-itapua,https://www.topuniversities.com/sites/default/files/240119030242pm949330lo.-UNI-oficial-90x90.jpg,n/a,n/a,1.4,201+,8.4,151+,93.4,27,8,201+,n/a,n/a,6.2,201+,14.5,151+
351-400,379,Universidad Nacional de Lujan,Argentina,Luján,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-lujan,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-lujan_592560df9988f300e23209d3_medium.jpg,25,201+,5.2,201+,10.7,151+,40.3,154,n/a,n/a,20.8,201+,14.2,201+,11.1,151+
351-400,380,Universidad Nacional de Misiones,Argentina,Posadas,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-misiones,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-misiones_592560df9988f300e23209d0_medium.jpg,36.2,191,7,201+,21.6,151+,19.1,201+,n/a,n/a,24.3,201+,19.6,201+,4.7,151+
351-400,381,Universidad Nacional de San Antonio Abad del Cusco,Peru,Cusco,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-san-antonio-abad-del-cusco,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-antonio-abad-del-cusco_592560cf2aeae70239af5623_medium.jpg,7.5,201+,14.5,201+,25.7,151+,6.2,201+,n/a,n/a,36,201+,12.8,201+,5.5,151+
351-400,382,Universidad Nacional del Altiplano,Peru,Puno,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-del-altiplano,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-altiplano_592560cf2aeae70239af5507_medium.jpg,1.5,201+,14.4,201+,15.2,151+,3.6,201+,38.8,152,21,201+,25.7,201+,3.8,151+
351-400,383,Universidad Politécnica de Puerto Rico - PUPR,Puerto Rico,San Juan,Latin America,n/a,https://www.topuniversities.com/universities/universidad-politecnica-de-puerto-rico-pupr,https://www.topuniversities.com/sites/default/files/universidad-politcnica-de-puerto-rico-pupr_592560cf2aeae70239af562d_medium.jpg,n/a,n/a,2.4,201+,9.6,151+,20.5,201+,51.3,120,n/a,n/a,21.5,201+,23.8,151+
351-400,384,Universidad Sergio Arboleda,Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/universidad-sergio-arboleda,https://www.topuniversities.com/sites/default/files/universidad-sergio-arboleda_592560cf2aeae70239af5155_medium.jpg,18.6,201+,15.1,201+,9.9,151+,20.9,201+,n/a,n/a,14.5,201+,16.6,201+,26.4,151+
351-400,385,Universidad Técnica de Manabí,Ecuador,Portoviejo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnica-de-manabi,https://www.topuniversities.com/sites/default/files/220617071556pm516635utm-logo-90x90.jpg,29.4,201+,17.1,201+,9,151+,3.9,201+,26.7,201+,45.3,190,11.2,201+,6.7,151+
351-400,386,Universidad de Guayaquil (UG),Ecuador,Guayaquil,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-guayaquil-ug,https://www.topuniversities.com/sites/default/files/241118081512pm852800Logo-UG-90x90.jpg,2.1,201+,12.7,201+,17.1,151+,3.5,201+,3.5,201+,25.3,201+,21.5,201+,21.6,151+
