rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
501-550,528,The Hebrew University of Jerusalem,Israel,Jerusalem,Asia,n/a,https://www.topuniversities.com/universities/hebrew-university-jerusalem,https://www.topuniversities.com/sites/default/files/260323113836am686713Hebrew-U-90x90.jpg,44.8,401+,72,401+,78,401+,63.2,401+,48.3,401+
501-550,529,The University of Lahore,Pakistan,Lahore,Asia,n/a,https://www.topuniversities.com/universities/university-lahore,https://www.topuniversities.com/sites/default/files/the-university-of-lahore_592560cf2aeae70239af4bda_medium.jpg,53.2,401+,70.7,401+,82,401+,57.3,401+,55.5,=382
501-550,530,Tianjin University,China (Mainland),Tianjin,Asia,n/a,https://www.topuniversities.com/universities/tianjin-university,https://www.topuniversities.com/sites/default/files/tianjin-university_609_medium.jpg,58.3,=348,89,=32,88.7,=88,50.9,401+,51.7,401+
501-550,531,Universidad Autónoma Metropolitana (UAM),Mexico,Mexico City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-metropolitana-uam,https://www.topuniversities.com/sites/default/files/universidad-autnoma-metropolitana-uam_592560cf2aeae70239af54af_medium.jpg,55.4,401+,52.3,401+,65.1,401+,64,=387,26.5,401+
501-550,532,Universidad Nacional Mayor de San Marcos,Peru,Lima,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-mayor-de-san-marcos,https://www.topuniversities.com/sites/default/files/universidad-nacional-mayor-de-san-marcos_592560cf2aeae70239af5158_medium.jpg,59.8,=310,47.3,401+,57,401+,63.3,401+,31,401+
501-550,533,Universidad de Guadalajara (UDG),Mexico,Guadalajara,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-guadalajara-udg,https://www.topuniversities.com/sites/default/files/universidad-de-guadalajara-udg_592560cf2aeae70239af5137_medium.jpg,54.9,401+,51.4,401+,64.2,401+,65.1,=352,23.7,401+
501-550,534,Universidad de la República (Udelar),Uruguay,Montevideo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-la-republica-udelar,https://www.topuniversities.com/sites/default/files/universidad-de-la-repblica-udelar_592560cf2aeae70239af515e_medium.jpg,49.7,401+,58.1,401+,69.2,401+,64.9,=356,47.2,401+
501-550,535,Universidad del Desarrollo (UDD),Chile,Santiago,Latin America,n/a,https://www.topuniversities.com/universities/universidad-del-desarrollo-udd,https://www.topuniversities.com/sites/default/files/universidad-del-desarrollo-udd_592560cf2aeae70239af52cd_medium.jpg,58.2,=353,58.1,401+,69,401+,60.6,401+,35.4,401+
501-550,536,Universidad del Norte ,Colombia,Barranquilla,Latin America,n/a,https://www.topuniversities.com/universities/universidad-del-norte,https://www.topuniversities.com/sites/default/files/universidad-del-norte-_592560cf2aeae70239af54ec_medium.jpg,63.1,=223,55.8,401+,65.5,401+,59.2,401+,31.3,401+
501-550,537,Universidade Federal do Rio Grande Do Sul,Brazil,Porto Alegre,Latin America,n/a,https://www.topuniversities.com/universities/universidade-federal-do-rio-grande-do-sul,https://www.topuniversities.com/sites/default/files/universidade-federal-do-rio-grande-do-sul_2239_medium.jpg,45.5,401+,75.3,=387,76.4,401+,62.6,401+,58.4,=304
501-550,538,Universitas Sebelas Maret,Indonesia,Surakarta,Asia,n/a,https://www.topuniversities.com/universities/universitas-sebelas-maret,https://www.topuniversities.com/sites/default/files/universitas-sebelas-maret_592560cf2aeae70239af4e43_medium.jpg,49,401+,54.1,401+,71.7,401+,65.8,=323,30.2,401+
501-550,539,Universiti Teknologi PETRONAS (UTP),Malaysia,Seri Iskandar,Asia,n/a,https://www.topuniversities.com/universities/universiti-teknologi-petronas-utp,https://www.topuniversities.com/sites/default/files/universiti-teknologi-petronas-utp_592560cf2aeae70239af4ef2_medium.jpg,51.6,401+,75.3,=387,86,=226,57.8,401+,57.1,=339
501-550,540,University of Bern,Switzerland,Bern,Europe,n/a,https://www.topuniversities.com/universities/university-bern,https://www.topuniversities.com/sites/default/files/university-of-bern_55_medium.jpg,50.9,401+,79.2,=251,85.1,=295,56,401+,65.7,=140
501-550,541,University of Deusto,Spain,Bilbao,Europe,n/a,https://www.topuniversities.com/universities/university-deusto,https://www.topuniversities.com/sites/default/files/university-of-deusto_592560cf2aeae70239af57cd_medium.jpg,48.7,401+,65.1,401+,81.3,401+,61,401+,49.7,401+
501-550,542,University of East Anglia (UEA),United Kingdom,Norwich,Europe,n/a,https://www.topuniversities.com/universities/university-east-anglia-uea,https://www.topuniversities.com/sites/default/files/university-of-east-anglia-uea_637_medium.jpg,48.5,401+,79.8,=239,87,=158,56.3,401+,66.1,=133
501-550,543,"University of Economics Ho Chi Minh City, Viet Nam",Vietnam,Ho Chi Minh City,Asia,n/a,https://www.topuniversities.com/universities/university-economics-ho-chi-minh-city-viet-nam,https://www.topuniversities.com/sites/default/files/220112034159am170290logo-ueh-90x90.jpg,47.5,401+,81.1,=196,97.1,1,55.6,401+,59.6,=273
501-550,544,"University of Missouri, Columbia",United States,Columbia,North America,n/a,https://www.topuniversities.com/universities/university-missouri-columbia,https://www.topuniversities.com/sites/default/files/university-of-missouri-columbia_409_medium.jpg,51.6,401+,72.9,401+,82.2,401+,58.3,401+,50.9,401+
501-550,545,University of Pisa,Italy,Pisa,Europe,n/a,https://www.topuniversities.com/universities/university-pisa,https://www.topuniversities.com/sites/default/files/university-of-pisa_499_medium.jpg,52,401+,73.7,401+,79.5,401+,57.9,401+,52.6,401+
501-550,546,University of South Florida,United States,Tampa,North America,n/a,https://www.topuniversities.com/universities/university-south-florida,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-90-90x90.jpg,49.9,401+,79.2,=251,83.2,401+,58.1,401+,59.8,=269
501-550,547,University of Stirling,United Kingdom,Stirling,Europe,n/a,https://www.topuniversities.com/universities/university-stirling,https://www.topuniversities.com/sites/default/files/university-of-stirling_575_medium.jpg,45.6,401+,70.7,401+,84.9,=313,61,401+,57.1,=339
501-550,548,University of Turku,Finland,Turku,Europe,n/a,https://www.topuniversities.com/universities/university-turku,https://www.topuniversities.com/sites/default/files/university-of-turku_592560cf2aeae70239af4cfe_medium.jpg,38.9,401+,78.8,=267,86.2,=210,64.2,=382,66.1,=133
501-550,549,University of Twente,Netherlands,Enschede,Europe,n/a,https://www.topuniversities.com/universities/university-twente,https://www.topuniversities.com/sites/default/files/university-of-twente_635_medium.jpg,47.9,401+,80.8,=203,87.7,=125,57.5,401+,61.3,=226
501-550,550,Yarmouk University,Jordan,Irbid,Asia,n/a,https://www.topuniversities.com/universities/yarmouk-university,https://www.topuniversities.com/sites/default/files/yarmouk-university_592560cf2aeae70239af4e72_medium.jpg,56.8,401+,56.6,401+,70.7,401+,61.9,401+,35.4,401+
501-550,551,Zayed University,United Arab Emirates,"Abu Dhabi,",Asia,n/a,https://www.topuniversities.com/universities/zayed-university,https://www.topuniversities.com/sites/default/files/zayed-university_592560cf2aeae70239af4f36_medium.jpg,50.3,401+,73.7,401+,87.8,=121,58.4,401+,54.4,401+
