rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
=205,207,Università Cattolica del Sacro Cuore,Italy,Milan,Europe,67.7,https://www.topuniversities.com/universities/universita-cattolica-del-sacro-cuore,https://www.topuniversities.com/sites/default/files/250121113309am654785Logo-Verticale-RGB-150x150-90x90.jpg,62.6,=238,73.3,401+,80.8,401+,68.8,=233,60.1,=261
=205,208,emlyon business school,France,LYON,Europe,67.7,https://www.topuniversities.com/universities/emlyon-business-school,https://www.topuniversities.com/sites/default/files/211005052214pm924585emlyon-logo-seul-cmjn-90x90.jpg,60.5,=291,69.7,401+,77.5,401+,73.7,=129,33.2,401+
=209,209,Curtin University,Australia,Perth,Oceania,67.6,https://www.topuniversities.com/universities/curtin-university,https://www.topuniversities.com/sites/default/files/curtin-university_150_medium.jpg,57.1,=394,86.4,=79,87.3,=144,67.7,=264,72.5,=53
=209,210,Universiti Teknologi Malaysia ,Malaysia,Skudai,Asia,67.6,https://www.topuniversities.com/universities/universiti-teknologi-malaysia,https://www.topuniversities.com/sites/default/files/universiti-teknologi-malaysia_387_medium.jpg,58.4,347,84.3,=116,85.5,=264,67.5,=272,72.7,=50
=209,211,University of Oslo,Norway,Oslo,Europe,67.6,https://www.topuniversities.com/universities/university-oslo,https://www.topuniversities.com/sites/default/files/university-of-oslo_473_medium.jpg,49.9,401+,79.5,=247,82,401+,74.3,=123,67.7,=102
=209,212,University of Warsaw,Poland,Warsaw,Europe,67.6,https://www.topuniversities.com/universities/university-warsaw,https://www.topuniversities.com/sites/default/files/221121121702pm909597logo-University-of-Warsaw-90x90.jpg,58,=363,69.7,401+,70.3,401+,74.1,126,53.7,401+
=213,213,Universite libre de Bruxelles,Belgium,Brussels,Europe,67.5,https://www.topuniversities.com/universities/universite-libre-de-bruxelles,https://www.topuniversities.com/sites/default/files/universite-libre-de-bruxelles_75_medium.jpg,64.8,=195,69.3,401+,79.3,401+,68.1,=252,57.5,=331
=213,214,Wuhan University,China (Mainland),Wuhan,Asia,67.5,https://www.topuniversities.com/universities/wuhan-university,https://www.topuniversities.com/sites/default/files/wuhan-university_889_medium.jpg,62.9,=230,89,=32,85.6,=255,65.7,=328,54.6,401+
=215,215,Purdue University,United States,West Lafayette,North America,67.4,https://www.topuniversities.com/universities/purdue-university,https://www.topuniversities.com/sites/default/files/230619052213pm191066PU-SIG-Logo-RGB--PU-V-Full-RGB-90x90.jpg,60.9,=280,83.7,=130,84,=385,66.6,=298,65.7,=140
=215,216,Universidad Externado de Colombia ,Colombia,Bogotá,Latin America,67.4,https://www.topuniversities.com/universities/universidad-externado-de-colombia,https://www.topuniversities.com/sites/default/files/universidad-externado-de-colombia_795_medium.jpg,71.7,=80,39.7,401+,47.4,401+,75.6,=104,30.2,401+
