rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
1201-1400,1271,National University of Kyiv-Mohyla Academy (NaUKMA),Ukraine,Kyiv,Europe,n/a,https://www.topuniversities.com/universities/national-university-kyiv-mohyla-academy-naukma,https://www.topuniversities.com/sites/default/files/national-university-of-kyiv-mohyla-academy-naukma_592560cf2aeae70239af5ab1_medium.jpg,1.5,801+,5.6,701+,57.1,322,26.8,512,29.9,550,1.3,801+,6.1,801+,2.6,801+,5.7,801+,16.5,801+
1201-1400,1272,New Mexico State University,United States,Las Cruces,North America,n/a,https://www.topuniversities.com/universities/new-mexico-state-university,https://www.topuniversities.com/sites/default/files/new-mexico-state-university_592560cf2aeae70239af519a_medium.jpg,21.3,695,6.6,701+,13,801+,6.8,701+,10.8,801+,10,801+,38.6,801+,10.4,801+,7.7,801+,43,801+
1201-1400,1273,Novosibirsk State Technical University,Russia,Novosibirsk,Europe,n/a,https://www.topuniversities.com/universities/novosibirsk-state-technical-university,https://www.topuniversities.com/sites/default/files/novosibirsk-state-technical-university_592560cf2aeae70239af5966_medium.jpg,2.8,801+,5.7,701+,27.7,686,11.1,701+,7.3,801+,56.7,366,11.6,801+,2,801+,55.2,372,15.2,801+
1201-1400,1274,OSMANIA UNIVERSITY,India,Hyderabad,Asia,n/a,https://www.topuniversities.com/universities/osmania-university,https://www.topuniversities.com/sites/default/files/osmania-university_22926_medium.jpg,35.1,523,6,701+,5,801+,6.2,701+,16.3,801+,9.3,801+,25.2,801+,n/a,n/a,7.1,801+,20.5,801+
1201-1400,1275,,,,,n/a,https://www.topuniversities.com,,1.6,801+,3.9,701+,70.5,224,6.3,701+,16.8,790,6.1,801+,12.9,801+,2.2,801+,10.1,801+,15.5,801+
1201-1400,1276,Ozyegin University,Türkiye,Istanbul,Asia,n/a,https://www.topuniversities.com/universities/ozyegin-university,https://www.topuniversities.com/sites/default/files/ozyegin-university_592560de9988f300e23206da_medium.jpg,10.1,801+,6.6,701+,10.2,801+,16.1,701+,2.6,801+,33.5,552,18.4,801+,14.7,801+,38.7,510,45.1,801+
1201-1400,1277,Palestine Technical University - Kadoorie,Palestinian Territories,Tulkarm,Asia,n/a,https://www.topuniversities.com/universities/palestine-technical-university-kadoorie,https://www.topuniversities.com/sites/default/files/211007110530am411120330px-Ptuk-90x90.jpg,3.5,801+,9.4,701+,29.8,637,9.1,701+,12,801+,16.4,791,18,801+,66.5,351,17.5,801+,6.1,801+
1201-1400,1278,Paul Valéry University Montpellier,France,Montpellier,Europe,n/a,https://www.topuniversities.com/universities/paul-valery-university-montpellier,https://www.topuniversities.com/sites/default/files/universit-paul-valery-montpellier-3-_592560cf2aeae70239af4c25_medium.jpg,8.7,801+,14.9,701+,4,801+,6.1,701+,2.4,801+,45.3,446,50.9,801+,6.8,801+,33.9,565,36.3,801+
1201-1400,1279,Pondicherry University,India,Puducherry,Asia,n/a,https://www.topuniversities.com/universities/pondicherry-university,https://www.topuniversities.com/sites/default/files/pondicherry-university_592560cf2aeae70239af4e1d_medium.jpg,33.4,545,5.1,701+,7.4,801+,3.4,701+,3.2,801+,1.6,801+,34.7,801+,2.3,801+,6,801+,47.1,=785
1201-1400,1280,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",Brazil,Porto Alegre,Latin America,n/a,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-grande-do-sul-pucrs,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-grande-do-sul-pucrs_592560cf2aeae70239af548e_medium.jpg,19.9,714,8.7,701+,18.4,801+,6,701+,11.7,801+,2.2,801+,19.8,801+,3.2,801+,6.6,801+,28.5,801+
1201-1400,1281,Portland State University,United States,Portland,North America,n/a,https://www.topuniversities.com/universities/portland-state-university,https://www.topuniversities.com/sites/default/files/portland-state-university_592560cf2aeae70239af51a6_medium.jpg,15.7,789,4.9,701+,14.8,801+,2.6,701+,16.5,796,10.8,801+,42.3,801+,2.1,801+,8.3,801+,47,=789
1201-1400,1282,Pratt Institute,United States,New York City,North America,n/a,https://www.topuniversities.com/universities/pratt-institute,https://www.topuniversities.com/sites/default/files/pratt-institute_592560de9988f300e2320747_medium.jpg,1.7,801+,6.9,701+,47.5,413,7,701+,7.1,801+,95.6,120,2.1,801+,7.5,801+,71.1,262,10.1,801+
1201-1400,1283,Pukyong National University ,South Korea,Busan,Asia,n/a,https://www.topuniversities.com/universities/pukyong-national-university,https://www.topuniversities.com/sites/default/files/pukyong-national-university-_592560cf2aeae70239af4ec4_medium.jpg,13.6,801+,9.4,701+,21.2,801+,6,701+,1.7,801+,13.9,801+,33.9,801+,6.6,801+,10.6,801+,58.6,=530
1201-1400,1284,"Queen Margaret University , Edinburgh",United Kingdom,Musselburgh,Europe,n/a,https://www.topuniversities.com/universities/queen-margaret-university-edinburgh,https://www.topuniversities.com/sites/default/files/queen-margaret-university-edinburgh_1676_medium.jpg,19.1,729,4.3,701+,6.3,801+,6.5,701+,1,801+,67.4,293,3.5,801+,68.4,341,70.6,265,18.6,801+
1201-1400,1285,Riphah International University,Pakistan,Islamabad,Asia,n/a,https://www.topuniversities.com/universities/riphah-international-university,https://www.topuniversities.com/sites/default/files/riphah-international-university_592560cf2aeae70239af585b_medium.jpg,6.4,801+,13.8,701+,26.2,712,8.2,701+,3.2,801+,1.5,801+,51.8,801+,2.2,801+,5.9,801+,32.3,801+
1201-1400,1286,Russian Presidential Academy of National Economy and Public Administration,Russia,Moscow,Europe,n/a,https://www.topuniversities.com/universities/russian-presidential-academy-national-economy-public-administration,https://www.topuniversities.com/sites/default/files/russian-presidential-academy-of-national-economy-and-public-administration_14961_medium.jpg,1.2,801+,5.6,701+,48.4,401,14.9,701+,53.7,312,4.6,801+,21.8,801+,2.1,801+,9.3,801+,14.3,801+
1201-1400,1287,Saint Petersburg Electrotechnical University ETU-LETI,Russia,St. Petersburg,Europe,n/a,https://www.topuniversities.com/universities/saint-petersburg-electrotechnical-university-etu-leti,https://www.topuniversities.com/sites/default/files/saint-petersburg-electrotechnical-university-etu-leti_592560cf2aeae70239af5956_medium.jpg,3,801+,4.8,701+,51.9,363,6.3,701+,7.3,801+,56.2,371,15.9,801+,5.6,801+,58.5,349,26.4,801+
1201-1400,1288,Saken Seifullin Kazakh Agrotechnical Research University,Kazakhstan,Astana,Asia,n/a,https://www.topuniversities.com/universities/saken-seifullin-kazakh-agrotechnical-research-university,https://www.topuniversities.com/sites/default/files/251119044819am116559Logo-Seifullin-University-90x90.jpg,1.5,801+,10.2,701+,42.2,475,18,701+,4.2,801+,9.4,801+,3.6,801+,23.5,669,12.5,801+,36.7,801+
1201-1400,1289,Samara National Research University (Samara University),Russia,Samara,Europe,n/a,https://www.topuniversities.com/universities/samara-national-research-university-samara-university,https://www.topuniversities.com/sites/default/files/samara-national-research-university-samara-university_21813_medium.jpg,3.2,801+,4,701+,74.6,199,3.7,701+,13.2,801+,22.3,696,19.5,801+,2.9,801+,27.1,652,30.6,801+
1201-1400,1290,Sathyabama Institute of Science and Technology (Deemed to be University),India,Chennai,Asia,n/a,https://www.topuniversities.com/universities/sathyabama-institute-science-technology-deemed-be-university,https://www.topuniversities.com/sites/default/files/sathyabama-institute-of-science-and-technology-deemed-to-be-university_592560cf2aeae70239af5a63_medium.jpg,9.4,801+,11,701+,27,698,10.4,701+,1.7,801+,6.1,801+,29.5,801+,7.5,801+,10.6,801+,51,=680
1201-1400,1291,Seattle University,United States,Seattle,North America,n/a,https://www.topuniversities.com/universities/seattle-university,https://www.topuniversities.com/sites/default/files/seattle-university_592560e09988f300e2320add_medium.jpg,3.2,801+,6.6,701+,40.5,498,14,701+,15.3,801+,22.1,698,6,801+,1.7,801+,28.3,636,42.5,801+
1201-1400,1292,Selcuk University,Türkiye,Selcuklu,Asia,n/a,https://www.topuniversities.com/universities/selcuk-university,https://www.topuniversities.com/sites/default/files/WhatsApp-Image-2021-05-18-at-12.59.58-90x90.jpeg,7.3,801+,7.5,701+,23.7,757,3.7,701+,13.6,801+,23.6,682,53.8,786,2.4,801+,29.7,619,45.7,801+
1201-1400,1293,Shanghai International Studies University,China (Mainland),Shanghai,Asia,n/a,https://www.topuniversities.com/universities/shanghai-international-studies-university,https://www.topuniversities.com/sites/default/files/shanghai-international-studies-university_592560cf2aeae70239af526d_medium.jpg,3.3,801+,7.2,701+,21.7,801+,6.4,701+,9.3,801+,40,491,10.8,801+,33.8,546,29.9,618,9.4,801+
1201-1400,1294,Shanghai University of Finance and Economics,China (Mainland),Shanghai,Asia,n/a,https://www.topuniversities.com/universities/shanghai-university-finance-economics,https://www.topuniversities.com/sites/default/files/shanghai-university-of-finance-and-economics_2026_medium.jpg,9.9,801+,5.8,701+,12.2,801+,15.1,701+,48,360,3.6,801+,14.1,801+,20.4,706,8.7,801+,32,801+
1201-1400,1295,Shinshu University ,Japan,Matsumoto City,Asia,n/a,https://www.topuniversities.com/universities/shinshu-university,https://www.topuniversities.com/sites/default/files/shinshu-university-_592560cf2aeae70239af4e84_medium.jpg,20.2,709,4.7,701+,39.9,507,4.9,701+,3.4,801+,4.7,801+,25.2,801+,6.8,801+,8.8,801+,24.6,801+
1201-1400,1296,Shiv Nadar Institution of Eminence,India,Dadri,Asia,n/a,https://www.topuniversities.com/universities/shiv-nadar-institution-eminence,https://www.topuniversities.com/sites/default/files/230117060106am467786Shiv-Nadar-IoE-Logo-Blue-QS-90x90.jpg,20.8,701,7.5,701+,42.1,476,6.1,701+,1.8,801+,3.2,801+,13.5,801+,17.4,759,7.3,801+,30.4,801+
1201-1400,1297,"Siksha ‘O’ Anusandhan (Deemed to be University), SOA",India,Bhubaneswar,Asia,n/a,https://www.topuniversities.com/universities/siksha-o-anusandhan-deemed-be-university-soa,https://www.topuniversities.com/sites/default/files/siksha-o-anusandhan-deemed-to-be-university_5aeae599cb4de71cbf27fc29_medium.jpg,11.4,801+,8.2,701+,41.6,485,5.5,701+,1.7,801+,4,801+,28.7,801+,3.2,801+,8.2,801+,35.8,801+
1201-1400,1298,Slovak University of Agriculture in Nitra,Slovakia,Nitra,Europe,n/a,https://www.topuniversities.com/universities/slovak-university-agriculture-nitra,https://www.topuniversities.com/sites/default/files/slovak-university-of-agriculture-in-nitra_59883fafca24f350583de94e_medium.jpg,15.5,794,8.9,701+,36.7,547,10.6,701+,5.7,801+,8.9,801+,28.5,801+,8.8,801+,12.3,801+,24.9,801+
1201-1400,1299,Sookmyung Women's University ,South Korea,Seoul,Asia,n/a,https://www.topuniversities.com/universities/sookmyung-womens-university,https://www.topuniversities.com/sites/default/files/sookmyung-womens-university-_592560cf2aeae70239af4ecf_medium.jpg,4.9,801+,6.9,701+,46.8,422,9.7,701+,1.9,801+,5,801+,6.1,801+,4.8,801+,9.3,801+,39.8,801+
1201-1400,1300,Suranaree University of Technology,Thailand,Nakhon Ratchasima ,Asia,n/a,https://www.topuniversities.com/universities/suranaree-university-technology,https://www.topuniversities.com/sites/default/files/220202122544pm840382sut-logo-eng-90x90.jpg,16.7,768,10.2,701+,5.9,801+,6.5,701+,3.2,801+,2.4,801+,27.3,801+,7.4,801+,6.7,801+,44.6,801+
1201-1400,1301,Taibah University,Saudi Arabia,Medina,Asia,n/a,https://www.topuniversities.com/universities/taibah-university,https://www.topuniversities.com/sites/default/files/taibah-university_592560cf2aeae70239af52db_medium.jpg,7.4,801+,9.2,701+,7.6,801+,4.3,701+,2.5,801+,3.6,801+,38,801+,90.6,221,8.2,801+,32.5,801+
1201-1400,1302,Tamkang University,Taiwan,New Taipei City,Asia,n/a,https://www.topuniversities.com/universities/tamkang-university,https://www.topuniversities.com/sites/default/files/tamkang-university_592560cf2aeae70239af5247_medium.jpg,11,801+,7.8,701+,5.2,801+,9.9,701+,35.6,484,11.6,801+,24.6,801+,8,801+,16.4,801+,45.7,801+
1201-1400,1303,Tanta University ,Egypt,Tanta,Africa,n/a,https://www.topuniversities.com/universities/tanta-university,https://www.topuniversities.com/sites/default/files/tanta-university-_592560cf2aeae70239af4f3f_medium.jpg,4,801+,7.7,701+,7.2,801+,9.8,701+,5.7,801+,3,801+,73.3,484,1.5,801+,7.3,801+,48.1,=757
1201-1400,1304,Tashkent State Transport University,Uzbekistan,Tashkent,Asia,n/a,https://www.topuniversities.com/universities/tashkent-state-transport-university,https://www.topuniversities.com/sites/default/files/tashkent-state-transport-university_5c9bab2c5c52f31b6640f322_medium.jpg,1.3,801+,19.3,640,24.7,740,10.8,701+,9.2,801+,2.3,801+,2,801+,3.5,801+,6.5,801+,30.1,801+
1201-1400,1305,Technical University of Cluj-Napoca,Romania,Cluj-Napoca,Europe,n/a,https://www.topuniversities.com/universities/technical-university-cluj-napoca,https://www.topuniversities.com/sites/default/files/technical-university-of-cluj-napoca_592560e59988f300e2321b43_medium.jpg,8.2,801+,5.8,701+,10.5,801+,10.7,701+,5.1,801+,5.6,801+,46.5,801+,4,801+,10.1,801+,42.1,801+
1201-1400,1306,Technical University of Liberec,Czechia,Liberec,Europe,n/a,https://www.topuniversities.com/universities/technical-university-liberec,https://www.topuniversities.com/sites/default/files/technical-university-of-liberec_592560cf2aeae70239af5a5a_medium.jpg,9.3,801+,5.6,701+,43.9,452,5,701+,2.5,801+,14.9,801+,28.5,801+,15.6,789,18.7,785,15.7,801+
1201-1400,1307,Tecnológico de Costa Rica -TEC,Costa Rica,Cartago,Latin America,n/a,https://www.topuniversities.com/universities/tecnologico-de-costa-rica-tec,https://www.topuniversities.com/sites/default/files/tecnolgico-de-costa-rica-tec_592560cf2aeae70239af562c_medium.jpg,2.1,801+,11.2,701+,23.2,770,24.9,539,11.6,801+,3,801+,11.1,801+,9.7,801+,7.3,801+,17.8,801+
1201-1400,1308,"The ""Gheorghe Asachi"" Technical University of Iasi",Romania,Iași,Europe,n/a,https://www.topuniversities.com/universities/gheorghe-asachi-technical-university-iasi,https://www.topuniversities.com/sites/default/files/the-gheorghe-asachi-technical-university-of-iasi_592560cf2aeae70239af52fc_medium.jpg,10,801+,6.5,701+,3.8,801+,14.5,701+,5.3,801+,8.6,801+,49.3,801+,n/a,n/a,6.6,801+,22.7,801+
1201-1400,1309,The University of Northampton,United Kingdom,Northampton,Europe,n/a,https://www.topuniversities.com/universities/university-northampton,https://www.topuniversities.com/sites/default/files/the-university-of-northampton_592560cf2aeae70239af50fc_medium.jpg,4.4,801+,3.4,701+,6.4,801+,3.9,701+,5.9,801+,93.4,140,16.8,801+,51.5,431,93.9,116,19,801+
1201-1400,1310,"The University of Notre Dame, Australia",Australia,Sydney,Oceania,n/a,https://www.topuniversities.com/universities/university-notre-dame-australia,https://www.topuniversities.com/sites/default/files/the-university-of-notre-dame-australia_592560e89988f300e23221ed_medium.jpg,10.2,801+,3.4,701+,6.3,801+,5.9,701+,1.7,801+,21.9,700,11.5,801+,53.7,421,28,637,34.1,801+
1201-1400,1311,Tishk International University,Iraq,Erbil,Asia,n/a,https://www.topuniversities.com/universities/tishk-international-university,https://www.topuniversities.com/sites/default/files/211122113021am187025TIU-logo-90x90.jpg,11.8,801+,13.4,701+,8,801+,4,701+,5.9,801+,1.6,801+,33.5,801+,74.2,318,5.9,801+,17.3,801+
1201-1400,1312,Tokai University,Japan,Hiratsuka City,Asia,n/a,https://www.topuniversities.com/universities/tokai-university,https://www.topuniversities.com/sites/default/files/tokai-university_592560cf2aeae70239af4ce7_medium.jpg,5.4,801+,12.8,701+,18.1,801+,9,701+,3.4,801+,5.3,801+,28.8,801+,7.7,801+,4.2,801+,34.4,801+
1201-1400,1313,Tokushima University,Japan,Tokushima City,Asia,n/a,https://www.topuniversities.com/universities/tokushima-university,https://www.topuniversities.com/sites/default/files/the-university-of-tokushima-_592560cf2aeae70239af4e88_medium.jpg,10.2,801+,5.4,701+,70.1,231,3.2,701+,6.4,801+,3.8,801+,18.2,801+,3.3,801+,7.8,801+,23.3,801+
1201-1400,1314,Tomas Bata University in Zlin,Czechia,Zlin,Europe,n/a,https://www.topuniversities.com/universities/tomas-bata-university-zlin,https://www.topuniversities.com/sites/default/files/tomas-bata-university-in-zlin_1234_medium.jpg,11.1,801+,6.1,701+,13.6,801+,10.3,701+,5.1,801+,30.7,583,31.2,801+,33.1,552,35.5,542,26.2,801+
1201-1400,1315,Transilvania University of Brasov,Romania,Brasov,Europe,n/a,https://www.topuniversities.com/universities/transilvania-university-brasov,https://www.topuniversities.com/sites/default/files/transilvania-university-of-brasov_59edd3f4ca24f325d41e2363_medium.jpg,7.1,801+,9,701+,8.4,801+,10.2,701+,5.3,801+,3.8,801+,69.6,538,5,801+,8.9,801+,32.2,801+
1201-1400,1316,Tunghai University,Taiwan,Taichung City,Asia,n/a,https://www.topuniversities.com/universities/tunghai-university,https://www.topuniversities.com/sites/default/files/tunghai-university_592560cf2aeae70239af5248_medium.jpg,13.1,801+,10.1,701+,6.7,801+,9.2,701+,21.9,696,17.8,765,28.2,801+,13.5,801+,21.7,735,47.5,=774
1201-1400,1317,UCAM Universidad Católica San Antonio de Murcia,Spain,Murcia,Europe,n/a,https://www.topuniversities.com/universities/ucam-universidad-catolica-san-antonio-de-murcia,https://www.topuniversities.com/sites/default/files/230703092537am795829logo-monocromo-jpg-UCAM-90x90.jpg,7.5,801+,9.6,701+,9.9,801+,5.6,701+,1.8,801+,43.8,460,23.9,801+,14.6,801+,49,425,41.4,801+
1201-1400,1318,Universidad Autonoma Chapingo,Mexico,Texcoco,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-chapingo,https://www.topuniversities.com/sites/default/files/210811053617am477550UACh-logo-1200-90x90.jpg,2.1,801+,4.1,701+,77.6,178,4.2,701+,13,801+,1.3,801+,6.4,801+,8.7,801+,1.2,801+,16.8,801+
1201-1400,1319,Universidad Autónoma de Guadalajara (UAG),Mexico,Guadalajara,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-guadalajara-uag,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-guadalajara-uag_592560cf2aeae70239af54a0_medium.jpg,1.2,801+,10.3,701+,28.7,665,5.2,701+,2.1,801+,23.6,681,2.4,801+,45.7,464,17.8,801+,7.3,801+
1201-1400,1320,Universidad Autónoma de Nuevo León,Mexico,San Nicolás de los Garza,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-nuevo-leon,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-nuevo-len_592560cf2aeae70239af5136_medium.jpg,2.9,801+,20.9,593,3.1,801+,10.7,701+,18.4,750,1.3,801+,39.1,801+,4,801+,1.2,801+,43.7,801+
1201-1400,1321,Universidad Autónoma del Estado de Hidalgo (UAEH),Mexico,Pachuca,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-del-estado-de-hidalgo-uaeh,https://www.topuniversities.com/sites/default/files/universidad-autnoma-del-estado-de-hidalgo-uaeh_592560cf2aeae70239af54ac_medium.jpg,1.9,801+,3.6,701+,51.7,366,8.3,701+,2.3,801+,2.9,801+,13.3,801+,2.6,801+,7.2,801+,41.8,801+
1201-1400,1322,Universidad Autónoma del Estado de México (UAEMex),Mexico,Toluca de Lerdo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-del-estado-de-mexico-uaemex,https://www.topuniversities.com/sites/default/files/universidad-autnoma-del-estado-de-mxico-uaemex_2249_medium.jpg,2,801+,23,547,7.5,801+,12.8,701+,2.1,801+,1.7,801+,15.6,801+,3.9,801+,6.1,801+,39.8,801+
1201-1400,1323,Universidad Católica del Norte,Chile,Antofagasta,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-del-norte,https://www.topuniversities.com/sites/default/files/universidad-catlica-del-norte_592560cf2aeae70239af54b9_medium.jpg,9.3,801+,5.7,701+,10.9,801+,5,701+,2.5,801+,8.5,801+,45,801+,21.9,688,6.5,801+,53,=646
1201-1400,1324,"Universidad Central ""Marta Abreu"" de Las Villas",Cuba,Santa Clara,Latin America,n/a,https://www.topuniversities.com/universities/universidad-central-marta-abreu-de-las-villas,https://www.topuniversities.com/sites/default/files/universidad-central-marta-abreu-de-las-villas_592560cf2aeae70239af54c1_medium.jpg,1.6,801+,4.8,701+,99.9,28,2,701+,26.5,616,1.6,801+,9.4,801+,1.1,801+,1.4,801+,10.2,801+
1201-1400,1325,Universidad Científica del Sur,Peru,Lima,Latin America,n/a,https://www.topuniversities.com/universities/universidad-cientifica-del-sur,https://www.topuniversities.com/sites/default/files/universidad-cientfica-del-sur_592560cf2aeae70239af5a3a_medium.jpg,1.7,801+,6.1,701+,68.3,244,6.8,701+,4.8,801+,1.3,801+,14.8,801+,4.2,801+,5.7,801+,30.1,801+
1201-1400,1326,Universidad Industrial de Santander - UIS,Colombia,Bucaramanga,Latin America,n/a,https://www.topuniversities.com/universities/universidad-industrial-de-santander-uis,https://www.topuniversities.com/sites/default/files/universidad-industrial-de-santander-uis_592560cf2aeae70239af54f6_medium.jpg,3.4,801+,12.7,701+,5.8,801+,17.6,701+,13.3,801+,2,801+,18.5,801+,6,801+,6.3,801+,28.5,801+
1201-1400,1327,Universidad Nacional de Cuyo,Argentina,Mendoza,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-cuyo,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-cuyo_592560cf2aeae70239af5124_medium.jpg,2.8,801+,17.8,684,23.9,754,10.7,701+,14.8,801+,11.6,801+,26.5,801+,2.1,801+,8.9,801+,43.7,801+
1201-1400,1328,Universidad Nacional de Ingeniería ,Peru,Lima,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-ingenieria,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-ingeniera-_592560cf2aeae70239af57dd_medium.jpg,2,801+,11.2,701+,10.2,801+,31.2,458,27.5,602,1.4,801+,7.1,801+,1.3,801+,5.8,801+,10.5,801+
1201-1400,1329,Universidad Nacional de San Luis,Argentina,San Luis ,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-san-luis,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-san-luis_592560cf2aeae70239af5121_medium.jpg,1.4,801+,3.9,701+,84.8,136,2,701+,1.5,801+,n/a,n/a,10.1,801+,n/a,n/a,n/a,n/a,18,801+
1201-1400,1330,Universidad Nacional de Asunción,Paraguay,San Lorenzo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-asuncion,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-asuncin_592560cf2aeae70239af5503_medium.jpg,1.2,801+,7.6,701+,43.1,462,5.5,701+,73.8,189,2.7,801+,13.1,801+,1.5,801+,7,801+,28.8,801+
1201-1400,1331,Universidad Nacional del Centro de la Provincia de Buenos Aires (UNICEN),Argentina,Tandil,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-del-centro-de-la-provincia-de-buenos-aires-unicen,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-centro-de-la-provincia-de-buenos-aires-unicen_592560cf2aeae70239af568f_medium.jpg,1.8,801+,6.3,701+,81.4,160,6.3,701+,1.5,801+,n/a,n/a,7.7,801+,n/a,n/a,n/a,n/a,20.5,801+
1201-1400,1332,Universidad Nacional del Litoral,Argentina,Santa Fe,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-del-litoral,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-litoral_592560cf2aeae70239af5122_medium.jpg,4.1,801+,18.1,674,3.1,801+,10.1,701+,7.1,801+,1.5,801+,26.8,801+,6.6,801+,1.4,801+,41,801+
1201-1400,1333,Universidad Nacional Costa Rica,Costa Rica,Heredia,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-costa-rica,https://www.topuniversities.com/sites/default/files/universidad-nacional-costa-rica_592560cf2aeae70239af52c1_medium.jpg,2.2,801+,13.5,701+,17.5,801+,18.4,698,11.4,801+,4.1,801+,16.8,801+,13.1,801+,3.3,801+,23.3,801+
1201-1400,1334,Universidad Peruana de Ciencias Aplicadas (UPC),Peru,Monterrico,Latin America,n/a,https://www.topuniversities.com/universities/universidad-peruana-de-ciencias-aplicadas-upc,https://www.topuniversities.com/sites/default/files/240206095824pm847134upc-logo-90x90.jpg,1.4,801+,17.8,689,4.7,801+,26.8,511,4.8,801+,2.1,801+,10.1,801+,17.1,766,1.8,801+,32,801+
1201-1400,1335,Universidad Tecnológica Nacional (UTN),Argentina,Buenos Aires,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnologica-nacional-utn,https://www.topuniversities.com/sites/default/files/250314113953am81912602-LOGO-MONTESERRAT-2025-90x90.jpg,1.2,801+,5.2,701+,56.6,327,19.2,678,9.2,801+,3.8,801+,10.9,801+,n/a,n/a,3.1,801+,19.1,801+
1201-1400,1336,Universidad Tecnológica de Panamá (UTP),Panama,Panama City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnologica-de-panama-utp,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-de-panam-utp_592560cf2aeae70239af4db4_medium.jpg,1.2,801+,9.5,701+,38.2,531,19.9,661,7.3,801+,8,801+,5.2,801+,4.9,801+,12,801+,24.5,801+
1201-1400,1337,Universidad de La Frontera (UFRO),Chile,Temuco,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-la-frontera-ufro,https://www.topuniversities.com/sites/default/files/universidad-de-la-frontera-ufro_592560cf2aeae70239af512b_medium.jpg,19.2,726,14.4,701+,6.5,801+,7.5,701+,2.7,801+,1.7,801+,44,801+,3.1,801+,1.5,801+,32.3,801+
1201-1400,1338,Universidad de Las Américas (UDLA) Ecuador,Ecuador,Quito,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-las-americas-udla-ecuador,https://www.topuniversities.com/sites/default/files/251111022435pm932572UDLA-90x90.jpg,2.6,801+,14.4,701+,21.1,801+,8.4,701+,7,801+,5,801+,18.3,801+,24.7,654,9.2,801+,30.9,801+
1201-1400,1339,Universidad de Lima,Peru,Lima,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-lima,https://www.topuniversities.com/sites/default/files/230207011108pm679897LOGO-ULIMA-90x90.jpg,1.7,801+,14.1,701+,6.8,801+,31.8,450,30.3,548,3.7,801+,11.3,801+,3.7,801+,8.1,801+,33.9,801+
1201-1400,1340,Universidad de Los Andes - (ULA) Mérida,Venezuela,Merida,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-los-andes-ula-merida,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes-ula-mrida_592560cf2aeae70239af54d2_medium.jpg,1.6,801+,20.2,608,26.3,711,12.7,701+,22.4,688,2,801+,19.3,801+,1.5,801+,6.3,801+,32,801+
1201-1400,1341,Universidad de Monterrey (UDEM),Mexico,San Pedro Garza García,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-monterrey-udem,https://www.topuniversities.com/sites/default/files/Webp.net-resizeimage-2021-06-15T131430.941-90x90.jpg,2.4,801+,19.8,622,8.7,801+,15.4,701+,6.4,801+,6.8,801+,9.2,801+,18.2,737,5.3,801+,32.5,801+
1201-1400,1342,Universidad de Valparaíso (UV),Chile,Valparaíso,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-valparaiso-uv,https://www.topuniversities.com/sites/default/files/universidad-de-valparaso-uv_592560cf2aeae70239af54e3_medium.jpg,5,801+,15.5,701+,12.8,801+,8.4,701+,4.8,801+,2.9,801+,34.3,801+,8.6,801+,2.4,801+,39.7,801+
