rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
801-850,830,Universidad de Montevideo (UM),Uruguay,Montevideo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-montevideo-um,https://www.topuniversities.com/sites/default/files/universidad-de-montevideo-um_695_medium.jpg,1.4,801+,24.9,513,81.2,161,25.8,525,13.4,801+,6.1,801+,7.9,801+,27,625,9.9,801+,11.7,801+
801-850,831,Universidade Federal de Santa Catarina ,Brazil,Florianópolis,Latin America,n/a,https://www.topuniversities.com/universities/universidade-federal-de-santa-catarina,https://www.topuniversities.com/sites/default/files/universidade-federal-de-santa-catarina_2746_medium.jpg,15.8,786,26.1,485,25.2,731,8.3,701+,23.7,659,4,801+,64.4,631,5.9,801+,8.7,801+,65.2,=393
801-850,832,Universidade Federal de São Paulo,Brazil,São Paulo,Latin America,n/a,https://www.topuniversities.com/universities/universidade-federal-de-sao-paulo,https://www.topuniversities.com/sites/default/files/universidade-federal-de-so-paulo_2750_medium.jpg,10.4,801+,14.1,701+,97.9,59,8.8,701+,3.6,801+,2.2,801+,49.5,801+,6.1,801+,6.7,801+,61.8,=460
801-850,833,Universidade de Brasília,Brazil,Brasília,Latin America,n/a,https://www.topuniversities.com/universities/universidade-de-brasilia,https://www.topuniversities.com/sites/default/files/universidade-de-braslia_1726_medium.jpg,8.3,801+,34.8,347,9,801+,10.8,701+,36.3,476,2.1,801+,63.7,639,12.8,801+,6.7,801+,66.6,=368
801-850,834,Universita' Politecnica delle Marche,Italy,Ancona,Europe,n/a,https://www.topuniversities.com/universities/universita-politecnica-delle-marche,https://www.topuniversities.com/sites/default/files/universita-politecnica-delle-marche_592560cf2aeae70239af501b_medium.jpg,55.3,326,8,701+,17.1,801+,5.2,701+,3.9,801+,11.6,801+,77.4,396,8.6,801+,17.5,801+,57.3,=555
801-850,835,Universiti Malaysia Terengganu (UMT),Malaysia,Kuala Terengganu,Asia,n/a,https://www.topuniversities.com/universities/universiti-malaysia-terengganu-umt,https://www.topuniversities.com/sites/default/files/universiti-malaysia-terengganu-umt_1987_medium.jpg,28.9,596,16.7,701+,18.6,801+,8.2,701+,5,801+,30.3,588,58.9,709,23.6,668,31.7,592,58.2,=543
801-850,836,University of Bari,Italy,Bari,Europe,n/a,https://www.topuniversities.com/universities/university-bari,https://www.topuniversities.com/sites/default/files/university-of-bari_45_medium.jpg,43.1,437,16.8,701+,7.4,801+,5.3,701+,12.2,801+,4,801+,80.7,338,6.9,801+,9.1,801+,56.3,=573
801-850,837,University of Brighton,United Kingdom,Brighton,Europe,n/a,https://www.topuniversities.com/universities/university-brighton,https://www.topuniversities.com/sites/default/files/250319040610pm863025Uni-of-Brighton-logo-black-300x300px-90x90.jpg,24.9,642,9.6,701+,12.4,801+,9.7,701+,11.5,801+,68.1,289,73.1,486,64.9,359,71.2,260,39.1,801+
801-850,838,University of Engineering & Technology (UET) Lahore,Pakistan,Lahore,Asia,n/a,https://www.topuniversities.com/universities/university-engineering-technology-uet-lahore,https://www.topuniversities.com/sites/default/files/university-of-engineering-technology-uet-lahore_592560cf2aeae70239af4d82_medium.jpg,15.1,801+,11.1,701+,20.4,801+,49.1,260,54.1,310,2.3,801+,56.5,746,n/a,n/a,6.5,801+,40.7,801+
801-850,839,University of Greenwich,United Kingdom,London,Europe,n/a,https://www.topuniversities.com/universities/university-greenwich,https://www.topuniversities.com/sites/default/files/university-of-greenwich_592560cf2aeae70239af50f0_medium.jpg,15.2,801+,6.2,701+,5.2,801+,7,701+,19.7,731,99.6,54,75.8,421,94,193,99.6,43,44.9,801+
801-850,840,University of Hyderabad,India,Hyderabad,Asia,n/a,https://www.topuniversities.com/universities/university-hyderabad,https://www.topuniversities.com/sites/default/files/university-of-hyderabad_592560cf2aeae70239af4d86_medium.jpg,54.5,335,17.7,692,20.7,801+,4.6,701+,3.4,801+,2.6,801+,34,801+,n/a,n/a,6.9,801+,42.1,801+
801-850,841,University of Latvia,Latvia,Riga,Europe,n/a,https://www.topuniversities.com/universities/university-latvia,https://www.topuniversities.com/sites/default/files/250324053503am319363LU-logotips-LAT-90x90.jpg,10.4,801+,14.5,701+,10,801+,22.8,581,92,89,10,801+,66.6,595,16.1,775,15.8,801+,56,=579
801-850,842,University of Lincoln,United Kingdom,Lincoln,Europe,n/a,https://www.topuniversities.com/universities/university-lincoln,https://www.topuniversities.com/sites/default/files/university-of-lincoln_592560cf2aeae70239af50f6_medium.jpg,14.6,801+,8,701+,13,801+,9.3,701+,6,801+,73.7,260,73.7,478,84.8,259,75.2,234,63.8,=427
801-850,843,"University of Maryland, Baltimore",United States,Baltimore,North America,n/a,https://www.topuniversities.com/universities/university-maryland-baltimore,https://www.topuniversities.com/sites/default/files/university-of-maryland-baltimore_5ca2179210ca6023896347d9_medium.jpg,22.5,678,7.6,701+,100,3,2.3,701+,2.3,801+,10.2,801+,45.7,801+,22.1,687,7.9,801+,41.3,801+
801-850,844,"University of Maryland, Baltimore County",United States,Baltimore,North America,n/a,https://www.topuniversities.com/universities/university-maryland-baltimore-county,https://www.topuniversities.com/sites/default/files/university-of-maryland-baltimore-county_592560cf2aeae70239af52af_medium.jpg,20,710,13.6,701+,18.9,801+,8.2,701+,10.3,801+,50.8,406,45.4,801+,72.9,325,55.5,371,66,=381
801-850,845,University of Modena and Reggio Emilia,Italy,Modena,Europe,n/a,https://www.topuniversities.com/universities/university-modena-reggio-emilia,https://www.topuniversities.com/sites/default/files/university-of-modena-and-reggio-emilia_411_medium.jpg,56.7,310,12.3,701+,4.6,801+,7.6,701+,20.3,719,7.5,801+,55.1,767,4.8,801+,13.1,801+,54.4,=613
801-850,846,University of Namur,Belgium,Namur,Europe,n/a,https://www.topuniversities.com/universities/university-namur,https://www.topuniversities.com/sites/default/files/230201095828am394887UNamur200x200-90x90.jpg,44.4,421,6.4,701+,5.8,801+,8.8,701+,10.3,801+,59.3,345,47.5,801+,37.2,521,62.7,316,53.4,=632
801-850,847,University of Palermo,Italy,Palermo,Europe,n/a,https://www.topuniversities.com/universities/university-palermo,https://www.topuniversities.com/sites/default/files/university-of-palermo_592560cf2aeae70239af5347_medium.jpg,45,415,17.8,688,7.1,801+,4.8,701+,6.4,801+,3.8,801+,84,274,3.3,801+,8.8,801+,44.3,801+
801-850,848,University of Salerno,Italy,Fisciano,Europe,n/a,https://www.topuniversities.com/universities/university-salerno,https://www.topuniversities.com/sites/default/files/university-of-salerno_592560cf2aeae70239af51f9_medium.jpg,46.9,404,12.3,701+,9.6,801+,6.1,701+,5.4,801+,2.6,801+,85.5,246,4.4,801+,7.4,801+,58.4,=536
801-850,849,University of Ulsan,South Korea,Ulsan,Asia,n/a,https://www.topuniversities.com/universities/university-ulsan,https://www.topuniversities.com/sites/default/files/university-of-ulsan_1111_medium.jpg,50.1,374,6,701+,60.2,300,3.8,701+,6.4,801+,3.6,801+,29.1,801+,2.7,801+,7.9,801+,44.2,801+
