rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
=98,98,University of Birmingham,United Kingdom,66.3,47.7,48.4,93.7,74.2,94.3,https://www.timeshighereducation.com/world-university-rankings/university-birmingham,"['Chancellors Court', 'Edgbaston']",Birmingham,West Midlands,B15 2TT,United Kingdom
=98,98,University of Tübingen,Germany,66.3,49.1,53.8,89.0,98.6,74.6,https://www.timeshighereducation.com/world-university-rankings/university-tubingen,Geschwister-Scholl-Platz,Tubingen,Baden-Wurttemberg,72074,Germany
101,101,Aarhus University,Denmark,66.2,48.6,58.8,83.9,99.8,75.3,https://www.timeshighereducation.com/world-university-rankings/aarhus-university,Nordre Ringgade 1,Aarhus,Jutland,8000,Denmark
102,102,Emory University,United States,65.9,53.8,46.2,94.6,82.8,66.4,https://www.timeshighereducation.com/world-university-rankings/emory-university,201 Dowman Drive 201 Dowman Drive,Atlanta,Georgia,30322,United States
=103,103,Rice University,United States,65.8,56.7,46.8,88.1,72.9,82.6,https://www.timeshighereducation.com/world-university-rankings/rice-university,6100 Main Street PO Box 1892,Houston,Texas,77005-1827,United States
=103,103,Tohoku University,Japan,65.8,70.9,70.8,52.8,100.0,59.2,https://www.timeshighereducation.com/world-university-rankings/tohoku-university,2-1-1 Katahira Aoba-ku,Sendai,04,980-8577,Japan
=105,105,Michigan State University,United States,65.7,57.1,55.9,82.7,69.9,67.3,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university,426 Auditorium Road,East Lansing,Michigan,48824,United States
=105,105,University of Helsinki,Finland,65.7,50.4,57.3,90.1,70.7,58.6,https://www.timeshighereducation.com/world-university-rankings/university-helsinki,Fabianinkatu 33 PO Box 3,Helsinki,Uusimaa Region,00014,Finland
107,107,Erasmus University Rotterdam,Netherlands,65.6,38.5,52.9,95.9,89.2,87.1,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam,Burgemeester Oudlaan 50,Rotterdam,South Holland,3062 PA,Netherlands
=108,108,Ohio State University (Main campus),United States,65.4,57.4,51.7,85.7,85.4,58.4,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus,281 West Lane Avenue Building Room 604,Columbus,Ohio,43210,United States
=108,108,Penn State (Main campus),United States,65.4,54.8,61.9,80.4,70.8,57.8,https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus,201 Old Main University Park,DUBOIS,Pennsylvania,16802,United States
=108,108,University of Bern,Switzerland,65.4,46.6,47.0,92.0,99.4,86.3,https://www.timeshighereducation.com/world-university-rankings/university-bern,Hochschulstrasse 4,Bern,Bern,3012,Switzerland
=108,108,University of Sheffield,United Kingdom,65.4,49.7,49.1,88.3,79.4,90.4,https://www.timeshighereducation.com/world-university-rankings/university-sheffield,Western Bank,Sheffield,South Yorkshire,S10 2TN,United Kingdom
112,112,University of Massachusetts,United States,65.3,55.0,46.6,87.9,88.6,75.0,https://www.timeshighereducation.com/world-university-rankings/university-massachusetts,"['One Beacon Street', '31st Floor']",Boston,Massachusetts,02108,United States
=113,113,Free University of Berlin,Germany,65.2,50.2,58.3,82.2,72.4,79.5,https://www.timeshighereducation.com/world-university-rankings/free-university-berlin,Kaiserswerther Street 16-18,Berlin,Berlin,14195,Germany
=113,113,University of Oslo,Norway,65.2,47.8,52.5,90.3,75.2,76.5,https://www.timeshighereducation.com/world-university-rankings/university-oslo,P.O. Box 1072 Blindern,Oslo,,0316,Norway
