rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url
=95,95,University of Passo Fundo (UPF),Brazil,21.5,22.9,14.9,28.4,19.0,27.9,https://www.timeshighereducation.com/world-university-rankings/university-passo-fundo-upf
97,97,EAFIT University,Colombia,21.1,22.1,13.0,23.5,21.3,46.5,https://www.timeshighereducation.com/world-university-rankings/eafit-university
98,98,Universidad Tecnológica de Bolívar,Colombia,20.8,16.2,15.1,29.2,34.7,38.2,https://www.timeshighereducation.com/world-university-rankings/universidad-tecnologica-de-bolivar
=99,99,Icesi University,Colombia,20.7,22.5,14.0,20.5,21.4,41.8,https://www.timeshighereducation.com/world-university-rankings/icesi-university
=99,99,Universidade Estadual de Santa Cruz,Brazil,20.7,27.9,11.6,18.0,19.3,36.1,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-de-santa-cruz
101–125,101,Arturo Prat University,Chile,20.6,16.1,13.9,16.9,23.6,47.0,https://www.timeshighereducation.com/world-university-rankings/arturo-prat-university
101–125,101,Benemérita Universidad Autónoma de Puebla,Mexico,20.6,26.5,10.5,19.3,21.2,36.0,https://www.timeshighereducation.com/world-university-rankings/benemerita-universidad-autonoma-de-puebla
101–125,101,Catholic University of Uruguay,Uruguay,20.6,22.7,10.4,16.5,18.5,58.7,https://www.timeshighereducation.com/world-university-rankings/catholic-university-uruguay
101–125,101,Ceará State University,Brazil,20.6,26.3,13.8,15.0,19.8,22.0,https://www.timeshighereducation.com/world-university-rankings/ceara-state-university
101–125,101,El Bosque University,Colombia,20.6,24.2,10.0,13.3,17.7,42.5,https://www.timeshighereducation.com/world-university-rankings/el-bosque-university
101–125,101,Externado University of Colombia,Colombia,20.6,25.5,10.5,15.8,16.1,46.1,https://www.timeshighereducation.com/world-university-rankings/externado-university-colombia
101–125,101,Finis Terrae University,Chile,20.6,22.7,10.6,18.2,16.2,47.9,https://www.timeshighereducation.com/world-university-rankings/finis-terrae-university
101–125,101,Instituto Politécnico Nacional (IPN),Mexico,20.6,23.9,10.6,22.1,25.4,25.9,https://www.timeshighereducation.com/world-university-rankings/instituto-politecnico-nacional-ipn
101–125,101,Mackenzie Presbyterian University,Brazil,20.6,24.5,13.9,18.4,27.2,29.9,https://www.timeshighereducation.com/world-university-rankings/mackenzie-presbyterian-university
101–125,101,National University of Córdoba,Argentina,20.6,20.7,10.8,17.7,21.3,38.0,https://www.timeshighereducation.com/world-university-rankings/national-university-cordoba
101–125,101,National University of Cuyo,Argentina,20.6,19.3,11.5,20.6,23.5,40.3,https://www.timeshighereducation.com/world-university-rankings/national-university-cuyo
101–125,101,Universidad Nacional de Loja,Ecuador,20.6,15.5,9.5,33.9,16.0,50.7,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-de-loja
101–125,101,PUC-Campinas,Brazil,20.6,24.7,13.4,14.2,18.5,24.1,https://www.timeshighereducation.com/world-university-rankings/puc-campinas
101–125,101,Temuco Catholic University,Chile,20.6,22.7,13.0,20.9,18.8,45.1,https://www.timeshighereducation.com/world-university-rankings/temuco-catholic-university
101–125,101,Universidad César Vallejo,Peru,20.6,27.9,11.2,17.6,16.0,21.6,https://www.timeshighereducation.com/world-university-rankings/universidad-cesar-vallejo
101–125,101,Universidad Científica del Sur,Peru,20.6,22.3,10.4,15.1,16.3,41.4,https://www.timeshighereducation.com/world-university-rankings/universidad-cientifica-del-sur
101–125,101,Universidad del Pacífico,Peru,20.6,22.5,9.3,20.7,17.7,52.7,https://www.timeshighereducation.com/world-university-rankings/universidad-del-pacifico
101–125,101,Universidad del Valle,Colombia,20.6,26.0,10.1,15.4,21.1,40.1,https://www.timeshighereducation.com/world-university-rankings/universidad-del-valle
101–125,101,Universidade Cidade de São Paulo,Brazil,20.6,17.6,15.2,15.9,17.6,47.2,https://www.timeshighereducation.com/world-university-rankings/universidade-cidade-de-sao-paulo
101–125,101,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,20.6,28.0,10.8,11.8,17.9,21.7,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-do-oeste-do-parana-unioeste
101–125,101,Universidade Federal de Sergipe,Brazil,20.6,21.3,12.6,24.5,22.8,29.9,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-de-sergipe-0
101–125,101,Universidad Industrial de Santander (UIS),Colombia,20.6,21.8,12.9,20.8,24.2,39.1,https://www.timeshighereducation.com/world-university-rankings/universidad-industrial-de-santander-uis
101–125,101,Universidad Mayor,Chile,20.6,20.9,10.0,23.5,17.6,48.2,https://www.timeshighereducation.com/world-university-rankings/universidad-mayor
