rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
93,93,Universidad ICESI,Colombia,Cali,Latin America,43.7,https://www.topuniversities.com/universities/universidad-icesi,https://www.topuniversities.com/sites/default/files/universidad-icesi_592560cf2aeae70239af5150_medium.jpg,59.3,86,17,=179,34.6,100,97.2,11,7,=166,33.8,=170,53.6,59,39.5,79
94,94,Universidade Federal do Espírito Santo,Brazil,Vitória,Latin America,43.5,https://www.topuniversities.com/universities/universidade-federal-do-espirito-santo,https://www.topuniversities.com/sites/default/files/universidade-federal-do-esprito-santo_592560cf2aeae70239af5547_medium.jpg,54.2,99,77.9,54,14.9,=114,34.8,134,96.2,28,94.6,30,76.5,36,6,=108
95,95,Universidad Autónoma de Chile,Chile,Providencia,Latin America,43.3,https://www.topuniversities.com/universities/universidad-autonoma-de-chile,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-chile_592560e09988f300e2320bc6_medium.jpg,93.5,16,48.9,98,34.5,101,13.5,=150,23.9,=166,90.2,47,36.9,106,22,=108
95,96,Universidad Nacional del Sur,Argentina,Bahia Blanca,Latin America,43.3,https://www.topuniversities.com/universities/universidad-nacional-del-sur,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-sur_592560cf2aeae70239af550a_medium.jpg,45.7,128,33.3,136,35.3,96,45.5,93,54.3,102,82.6,64,37.3,105,21.2,=108
95,97,Universidad Tecnológica Nacional (UTN),Argentina,Buenos Aires,Latin America,43.3,https://www.topuniversities.com/universities/universidad-tecnologica-nacional-utn,https://www.topuniversities.com/sites/default/files/250314113953am81912602-LOGO-MONTESERRAT-2025-90x90.jpg,34.8,164,3.2,=179,25.4,=114,60.4,67,13.4,=166,46.2,155,61.7,47,74.2,42
98,98,Universidad Católica del Norte,Chile,Antofagasta,Latin America,43,https://www.topuniversities.com/universities/universidad-catolica-del-norte,https://www.topuniversities.com/sites/default/files/universidad-catlica-del-norte_592560cf2aeae70239af54b9_medium.jpg,63.9,73,87.1,37,27.1,=114,24.7,=150,32.8,146,93.5,39,47,75,23,=108
98,99,Universidade Federal do Pará,Brazil,Belém,Latin America,43,https://www.topuniversities.com/universities/universidade-federal-do-para,https://www.topuniversities.com/sites/default/files/universidade-federal-do-par_592560cf2aeae70239af554d_medium.jpg,39.5,142,58.7,80,25,=114,18.6,=150,93.4,45,93.8,38,75,37,11,=108
100,100,Universidad San Ignacio de Loyola (USIL),Peru,La Molina,Latin America,42.9,https://www.topuniversities.com/universities/universidad-san-ignacio-de-loyola-usil,https://www.topuniversities.com/sites/default/files/universidad-san-ignacio-de-loyola_592560cf2aeae70239af5514_medium.jpg,83.7,39,29.4,147,38.1,91,6.8,=150,15,=166,57.3,118,20.4,=161,52.9,62
101,101,Federal University of Technology-Parana,Brazil,Curitiba,Latin America,41.1,https://www.topuniversities.com/universities/federal-university-technology-parana,https://www.topuniversities.com/sites/default/files/universidade-tecnolgica-federal-do-paran_592560cf2aeae70239af5556_medium.jpg,62.4,76,64.3,74,10,=114,36.1,128,90.8,52,96.5,23,40.9,95,11.5,=108
102,102,Universidade Estadual de Londrina,Brazil,Londrina,Latin America,40.6,https://www.topuniversities.com/universities/universidade-estadual-de-londrina,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-londrina_592560cf2aeae70239af5528_medium.jpg,54,100,66,69,19.4,=114,29.1,=150,95.6,35,56.7,120,49.7,67,17.4,=108
