rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank
101-150,122,Politecnico di Milano,Italy,"Milan,",Europe,n/a,https://www.topuniversities.com/universities/politecnico-di-milano,https://www.topuniversities.com/sites/default/files/260325021911pm966918POLIMI-logo-200x200-v2--90x90.jpg,75.7,=46,69.2,101+,65.8,101+,60.5,101+
101-150,123,Qatar University,Qatar,Doha,Asia,n/a,https://www.topuniversities.com/universities/qatar-university,https://www.topuniversities.com/sites/default/files/251111064230am907511QULlOGO-90x90.jpg,58.3,101+,81.7,=72,79.4,=82,64,101+
101-150,124,Queen's University at Kingston,Canada,Kingston,North America,n/a,https://www.topuniversities.com/universities/queens-university-kingston,https://www.topuniversities.com/sites/default/files/queens-university-at-kingston_513_medium.jpg,71.2,=83,65.8,101+,69,101+,65.9,101+
101-150,125,Shanghai University of Finance and Economics,China (Mainland),Shanghai,Asia,n/a,https://www.topuniversities.com/universities/shanghai-university-finance-economics,https://www.topuniversities.com/sites/default/files/shanghai-university-of-finance-and-economics_2026_medium.jpg,53.4,101+,87.3,=17,76.5,101+,65.7,101+
101-150,126,Technical University of Munich,Germany,Munich,Europe,n/a,https://www.topuniversities.com/universities/technical-university-munich,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_medium.jpg,76.2,=44,71.4,101+,66.4,101+,61.5,101+
101-150,127,Texas A&M University,United States,College Station,North America,n/a,https://www.topuniversities.com/universities/texas-am-university,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_medium.jpg,68.3,101+,73.4,101+,73.9,101+,65,101+
101-150,128,The University of Sheffield,United Kingdom,"Sheffield,",Europe,n/a,https://www.topuniversities.com/universities/university-sheffield,https://www.topuniversities.com/sites/default/files/230919100158am438629UoS-logo-90x90.jpg,63.7,101+,77.5,101+,77.7,101+,62.3,101+
101-150,129,The University of Western Australia,Australia,Perth,Oceania,n/a,https://www.topuniversities.com/universities/university-western-australia,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_medium.jpg,61.9,101+,85.6,30,81.7,=49,64.8,101+
101-150,130,Universidad de Chile,Chile,Santiago,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-chile,https://www.topuniversities.com/sites/default/files/universidad-de-chile_121_medium.jpg,72.4,70,59.5,101+,46.5,101+,72.3,=69
101-150,131,Universidad de los Andes,Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-los-andes,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes_592560cf2aeae70239af4bf6_medium.jpg,75.5,48,53.9,101+,33,101+,69.7,90
